232,1
275,1
326,1
563,1
558,1
146,1
120,1
255,1
188,1
516,1
368,1
287,1
446,1
347,1
149,1
561,1
184,1
425,1
436,1
337,1
544,1
396,1
549,1
401,1
456,1
509,1
469,1
531,1
383,1
37,1
24,1
11,1
257,1
555,1
83,1
407,1
246,1
213,1
498,1
483,1
129,1
283,1
559,1
288,1
305,1
200,1
302,1
103,1
80,1
73,1
66,1
50,1
462,1
427,1
328,1
99,1
556,1
408,1
258,1
546,1
398,1
551,1
518,1
403,1
370,1
195,1
443,1
344,1
39,1
26,1
13,1
215,1
190,1
438,1
339,1
131,1
248,1
197,1
553,1
520,1
500,1
485,1
405,1
372,1
285,1
538,1
390,1
364,1
420,1
317,1
254,1
545,1
397,1
550,1
517,1
402,1
369,1
541,1
393,1
242,1
513,1
505,1
365,1
356,1
352,1
205,1
170,1
490,1
479,1
93,1
460,1
97,1
244,1
234,1
458,1
207,1
186,1
172,1
492,1
481,1
471,1
95,1
277,1
231,1
225,1
455,1
508,1
183,1
468,1
424,1
325,1
321,1
274,1
268,1
157,1
435,1
336,1
145,1
137,1
119,1
111,1
562,1
122,1
252,1
444,1
345,1
147,1
253,1
105,1
245,1
235,1
459,1
208,1
187,1
173,1
493,1
482,1
472,1
96,1
301,1
278,1
65,1
49,1
542,1
394,1
547,1
514,1
510,1
506,1
399,1
366,1
357,1
353,1
249,1
198,1
464,1
52,1
540,1
392,1
537,1
533,1
389,1
385,1
241,1
221,1
363,1
359,1
512,1
504,1
355,1
351,1
239,1
217,1
204,1
179,1
169,1
489,1
478,1
453,1
419,1
415,1
316,1
312,1
192,1
92,1
530,1
526,1
522,1
382,1
378,1
374,1
202,1
177,1
167,1
502,1
487,1
476,1
466,1
448,1
410,1
349,1
307,1
264,1
212,1
163,1
153,1
90,1
497,1
451,1
440,1
431,1
413,1
341,1
332,1
310,1
141,1
133,1
128,1
124,1
115,1
107,1
298,1
295,1
260,1
85,1
76,1
69,1
62,1
59,1
282,1
102,1
88,1
79,1
72,1
46,1
43,1
290,1
54,1
293,1
57,1
36,1
32,1
28,1
23,1
19,1
15,1
10,1
6,1
2,1
41,1
461,1
426,1
327,1
98,1
535,1
387,1
229,1
227,1
223,1
219,1
361,1
181,1
417,1
314,1
237,1
194,1
528,1
524,1
422,1
380,1
376,1
323,1
319,1
272,1
270,1
266,1
262,1
210,1
175,1
165,1
161,1
159,1
155,1
151,1
495,1
474,1
442,1
433,1
343,1
334,1
143,1
139,1
135,1
126,1
117,1
113,1
109,1
280,1
34,1
30,1
21,1
17,1
8,1
4,1
250,1
199,1
429,1
330,1
300,1
64,1
48,1
539,1
391,1
536,1
534,1
532,1
388,1
386,1
384,1
240,1
230,1
228,1
226,1
224,1
222,1
220,1
218,1
543,1
454,1
395,1
362,1
360,1
358,1
511,1
507,1
503,1
354,1
350,1
243,1
238,1
233,1
216,1
203,1
182,1
180,1
178,1
168,1
488,1
477,1
467,1
457,1
452,1
418,1
416,1
414,1
315,1
313,1
311,1
236,1
193,1
191,1
91,1
529,1
527,1
525,1
523,1
521,1
423,1
421,1
381,1
379,1
377,1
375,1
373,1
324,1
322,1
320,1
318,1
206,1
201,1
185,1
176,1
171,1
166,1
548,1
515,1
501,1
491,1
486,1
480,1
475,1
470,1
465,1
447,1
409,1
400,1
367,1
348,1
306,1
273,1
271,1
269,1
267,1
265,1
263,1
261,1
251,1
247,1
211,1
209,1
196,1
174,1
164,1
162,1
160,1
158,1
156,1
154,1
152,1
150,1
94,1
89,1
496,1
494,1
473,1
450,1
441,1
439,1
434,1
432,1
430,1
412,1
342,1
340,1
335,1
333,1
331,1
309,1
144,1
142,1
140,1
138,1
136,1
134,1
132,1
127,1
125,1
123,1
118,1
116,1
114,1
112,1
110,1
108,1
106,1
299,1
297,1
294,1
276,1
259,1
214,1
189,1
84,1
75,1
68,1
63,1
61,1
58,1
552,1
519,1
499,1
484,1
463,1
437,1
428,1
404,1
371,1
338,1
329,1
281,1
279,1
130,1
121,1
101,1
87,1
78,1
71,1
554,1
445,1
406,1
346,1
256,1
148,1
47,1
45,1
42,1
289,1
284,1
104,1
53,1
557,1
304,1
292,1
286,1
82,1
56,1
51,1
35,1
33,1
31,1
29,1
27,1
22,1
20,1
18,1
16,1
14,1
9,1
7,1
5,1
3,1
1,1
560,1
40,1
38,1
25,1
12,1
303,1
81,1
74,1
67,1
449,1
411,1
308,1
296,1
86,1
77,1
70,1
60,1
44,1
291,1
55,1
100,1
